c,largest_lyapunov_exponent,z_span
2.209999999999999964e+00,2.267636179532550034e-01,2.290288441477111192e+00
2.214999999999999858e+00,2.276754030233211767e-01,2.291904093285832111e+00
2.219999999999999751e+00,2.007165573546509929e-01,2.290427756447663832e+00
2.224999999999999645e+00,2.301216913731068681e-01,2.285474779694106839e+00
2.229999999999999982e+00,2.284620751498665503e-01,2.283221434630736901e+00
2.234999999999999876e+00,2.200394696442842246e-01,2.270339945926432179e+00
2.240000000000000213e+00,1.814383147940136221e-01,2.266271169705244670e+00
2.245000000000000107e+00,1.253988671735349891e-01,2.262959042110474606e+00
2.250000000000000000e+00,2.064995698917002631e-01,2.273822047781838052e+00
2.254999999999999893e+00,1.952694800568634259e-01,2.268874027018081385e+00
2.259999999999999787e+00,2.040936444987389020e-01,2.267055153885114471e+00
2.264999999999999680e+00,2.352426298045106889e-01,2.265172343656506992e+00
2.270000000000000018e+00,2.292357673692591025e-01,2.256362798672293835e+00
2.274999999999999911e+00,2.011862964779894680e-01,2.252998999550961390e+00
2.280000000000000249e+00,1.077153877267134352e-01,2.247588876298554528e+00
2.285000000000000142e+00,2.467399103033964258e-01,2.254697280098243439e+00
2.290000000000000036e+00,2.300526522673372043e-01,2.222458952513027608e+00
2.294999999999999929e+00,2.024944451186632965e-01,2.247911160419110210e+00
2.299999999999999822e+00,2.068432615159477572e-01,2.247405166882586069e+00
2.304999999999999716e+00,2.385873626777011147e-01,2.239617762720486738e+00
2.310000000000000053e+00,2.338421269573165429e-01,2.241865928246305817e+00
2.314999999999999947e+00,2.103714855836547604e-01,2.242043605427273434e+00
2.320000000000000284e+00,2.036859673912420621e-01,2.240934460620688906e+00
2.325000000000000178e+00,1.912566396424001114e-01,2.238247563511430727e+00
2.330000000000000071e+00,1.263671782523904108e-01,2.236917347544802315e+00
2.334999999999999964e+00,-1.197707327045676763e-02,2.234999920070213086e+00
2.339999999999999858e+00,-2.533223366175145572e-03,2.232392841267587968e+00
